exp_id,slug,hypothesis,functions,dim,budget,agent,observation,action_space,reward,discounting,n_seeds,training_steps,wall_clock_train_hours,node_type,smoke_job_id,train_job_id,eval_job_id,baselines_compared,key_result,date,status
EXP001_dqn_restart,dqn_restart,"First proof-of-concept: DQN restart controller on a single function (f11, Rastrigin), 1200 episodes",11,30,300000,dqn,traj20,profiles_budget_area,stagnation,per_budget,,,,cpu,,,,BASE001_de_plain;BASE002_fixed_schedule;BASE003_random,"proof of concept; the controller learns to restart on f11 (median error ~10.6)",,completed
EXP002_dqn_restart,dqn_restart,"EXP001 plus per-strategy F/CR in the action profiles, still on f11",11,30,300000,dqn,traj20,profiles_budget_area,stagnation,per_budget,,,,cpu,,,,BASE001_de_plain;BASE002_fixed_schedule;BASE003_random,"per-strategy F/CR sharply improves f11 (median 1.75 vs EXP001's 10.6)",,completed
EXP003_dqn_restart,dqn_restart,"Same DQN restart controller as EXP002 scaled to 10k episodes with a checkpoint+full-evaluation every 1k episodes, swept over 6 functions (one job per function)",2;8;11;12;17;24,30,300000,dqn,traj20,profiles_budget_area,stagnation,per_budget,51,,,cpu,,,,BASE001_de_plain;BASE002_fixed_schedule;BASE003_random,"beats random on all 6; beats plain-DE on f11/f12/f24; loses to plain-DE on f2/f17; ties on f8; learning saturates by ~ep2-3k",2026-07-31,completed
EXP004_dqn_rewardf,dqn_rewardf,"EXP003 with log-improvement reward + widened budget menu [0.025,0.10,0.25] + widened box extremes [3.0..0.25] + warmup_frac 0.025, to test reward shaping and action granularity",2;8;11;12;17;24,30,300000,dqn,traj20,profiles_budget_area,log_stagnation,per_budget,51,,,cpu,,,,BASE001_de_plain;BASE002_fixed_schedule;BASE003_random,,2026-08-02,planned
EXP005_dqn_logstag,dqn_logstag,"Reward ablation A: log_stagnation (log-improvement + stagnation penalty) on the 6-function DQN set",2;6;11;12;17;24,30,300000,dqn,traj20,profiles_budget_area,log_stagnation,per_budget,51,,,cpu,,,,BASE001_de_plain;BASE002_fixed_schedule;BASE003_random,"BEST reward: +11.2% mean error reduction vs plain DE across the 6 functions; chosen for EXP009-013",,completed
EXP006_dqn_norminit,dqn_norminit,"Reward ablation B: norm_initial (linear improvement / initial error, return in [0,1])",2;6;11;12;17;24,30,300000,dqn,traj20,profiles_budget_area,norm_initial,per_budget,51,,,cpu,,,,BASE001_de_plain;BASE002_fixed_schedule;BASE003_random,"WORSE than plain DE (-143% mean) -> rejected",,completed
EXP007_dqn_logimprove,dqn_logimprove,"Reward ablation C: log_improvement (log-improvement, NO stagnation penalty)",2;6;11;12;17;24,30,300000,dqn,traj20,profiles_budget_area,log_improvement,per_budget,51,,,cpu,,,,BASE001_de_plain;BASE002_fixed_schedule;BASE003_random,"+7.5% vs DE (2nd best); below log_stagnation, so the stagnation penalty helps",,completed
EXP008_dqn_median,dqn_median,"Reward ablation D: median_stagnation (linear improvement / per-function BASE001 median)",2;6;11;12;17;24,30,300000,dqn,traj20,profiles_budget_area,median_stagnation,per_budget,51,,,cpu,,,,BASE001_de_plain;BASE002_fixed_schedule;BASE003_random,"WORSE than plain DE (-30% mean) -> rejected",,completed
EXP009_mpdqn,mpdqn,"MP-DQN (parameterized DQN) on the continuous parameter action space: agent sets F, CR, budget_frac, box_scale continuously; strategy is a discrete choice",2;6;11;12;17;3;7;15;10;16;22,30,300000,mpdqn,traj20_contbox,param_strategy_continuous,log_stagnation,per_budget,51,,,cpu,,,,BASE001_de_plain;BASE003_random,"beats plain DE on every function (p<1e-6, mean 83.5% error reduction); Friedman avg rank 2.65 of 3; solves f11/f17 exactly; weakest of the three on the hard functions",2026-08-09,completed
EXP010_hybridppo,hybridppo,"Hybrid PPO (on-policy, factorized Categorical x Beta) on the same continuous parameter space as EXP009; vectorized (8 SubprocVecEnv workers)",2;6;11;12;17;3;7;15;10;16;22,30,300000,hybrid_ppo,traj20_contbox,param_strategy_continuous,log_stagnation,per_budget,51,,,cpu,,,,BASE001_de_plain;BASE003_random,"WINNER of the three: Friedman avg rank 1.55, mean 90.9% error reduction vs DE, most robust on hard functions (f2/f12/f15), solves f10/f11/f17; sparse training log so curves are superseded by EXP012",2026-08-09,completed
EXP011_hybridsac,hybridsac,"Hybrid SAC (off-policy, twin critics, two auto-tuned temperatures) on the same continuous parameter space",2;6;11;12;17;3;7;15;10;16;22,30,300000,hybrid_sac,traj20_contbox,param_strategy_continuous,log_stagnation,per_budget,51,,,cpu,,,,BASE001_de_plain;BASE003_random,"close second: Friedman avg rank 1.80, mean 87.6% error reduction vs DE, best on f6/f22, solves f11/f17 exactly; heavy worst-case tail on f2",2026-08-09,completed
EXP012_hybridppo2LD,hybridppo2LD,"EXP010 re-run, identical except denser logging (eval_every 100 gradient steps, periodic_eval every 500 episodes) for accurate learning/reward curves; supersedes EXP010 for reporting",2;6;11;12;17;3;7;15;10;16;22,30,300000,hybrid_ppo,traj20_contbox,param_strategy_continuous,log_stagnation,per_budget,51,,,cpu,,,,BASE001_de_plain;BASE003_random,"same performance as EXP010 (identical config); dense curves confirm PPO reaches the optimum floor on f10/f11/f17",2026-08-09,completed
EXP013_hybridppo_freedom,hybridppo_freedom,"EXP010 winner (PPO) given more DE freedom: agent chooses NP (log-scaled 16-400) per restart and box center (centroid/incumbent/random, folded into a 15-way joint discrete head); adds a 5th strategy current-to-pbest/1; observation traj20_contboxnp (99 dims); warm-up still fixed",2;6;11;12;17;3;7;15;10;16;22,30,300000,hybrid_ppo,traj20_contboxnp,param_strategy_boxnp,log_stagnation,per_budget,51,,,cpu,,,,BASE001_de_plain;BASE003_random,"solves f11/f17 etc. but on the PRE-CORRECTION benchmark (f17 was buggy); superseded by EXP016 on the corrected benchmark",2026-08-09,completed
EXP014_hybridppo_15k,hybridppo_15k,"EXP010 (Hybrid PPO, continuous action space) at 15k episodes -> 15 checkpoints, on the CORRECTED CEC'13 benchmark; own axis-box baselines (BASE_CONT_AXIS, shared with EXP015)",2;6;11;12;17;3;7;15;10;16;22,30,300000,hybrid_ppo,traj20_contbox,param_strategy_continuous,log_stagnation,per_budget,51,,,cpu,,,,BASE001_de_plain;BASE003_random,pending,,planned
EXP015_hybridsac_15k,hybridsac_15k,"EXP011 (Hybrid SAC, continuous action space) at 15k episodes -> 15 checkpoints, CORRECTED benchmark; shares BASE_CONT_AXIS with EXP014",2;6;11;12;17;3;7;15;10;16;22,30,300000,hybrid_sac,traj20_contbox,param_strategy_continuous,log_stagnation,per_budget,51,,,cpu,,,,BASE001_de_plain;BASE003_random,pending,,planned
EXP016_hybridppo_freedom_15k,hybridppo_freedom_15k,"EXP013 (Hybrid PPO, boxnp larger action space: agent chooses NP + box centre + current-to-pbest/1) at 15k episodes, CORRECTED benchmark; own BASE_BOXNP_AXIS baselines",2;6;11;12;17;3;7;15;10;16;22,30,300000,hybrid_ppo,traj20_contboxnp,param_strategy_boxnp,log_stagnation,per_budget,51,,,cpu,,,,BASE001_de_plain;BASE003_random,pending,,planned
EXP017_hybridppo_cov_15k,hybridppo_cov_15k,"EXP014 with the COVARIANCE sampling box (Gaussian ellipsoid from the population covariance; box_scale multiplies the std); f2 validated first, now full 11-function test set; BASE_CONT_COV baselines",2;6;11;12;17;3;7;15;10;16;22,30,300000,hybrid_ppo,traj20_contbox,param_strategy_continuous,log_stagnation,per_budget,51,,,cpu,,,,BASE001_de_plain;BASE003_random,pending,,planned
EXP018_hybridsac_cov_15k,hybridsac_cov_15k,"EXP015 with the COVARIANCE sampling box; full 11-function test set; shares BASE_CONT_COV with EXP017",2;6;11;12;17;3;7;15;10;16;22,30,300000,hybrid_sac,traj20_contbox,param_strategy_continuous,log_stagnation,per_budget,51,,,cpu,,,,BASE001_de_plain;BASE003_random,pending,,planned
EXP019_hybridppo_freedom_cov_15k,hybridppo_freedom_cov_15k,"EXP016 (boxnp) with the COVARIANCE sampling box; f2 validated first, now full 11-function test set; own BASE_BOXNP_COV baselines",2;6;11;12;17;3;7;15;10;16;22,30,300000,hybrid_ppo,traj20_contboxnp,param_strategy_boxnp,log_stagnation,per_budget,51,,,cpu,,,,BASE001_de_plain;BASE003_random,pending,,planned
EXP020_hybridppo_rnn_15k,hybridppo_rnn_15k,"EXP016 with a RECURRENT (GRU) Hybrid-PPO policy+value: pure recurrence ablation -- identical boxnp action space, traj20_contboxnp observation, reward, functions and 15k episodes; only the nets become separate GRU trunks (episode-aligned collection, whole-episode minibatches with exact hidden-state recompute). Reuses BASE_BOXNP_AXIS (agent-independent baselines)",2;6;11;12;17;3;7;15;10;16;22,30,300000,hybrid_ppo_rnn,traj20_contboxnp,param_strategy_boxnp,log_stagnation,per_budget,51,,,cpu,,,,BASE001_de_plain;BASE003_random,pending,,planned
EXP021_hybridppo_freedompp,hybridppo_freedompp,"freedom++: EXP016 (boxnp PPO) with a MULTI-HEAD discrete action (strategy/box_center/box_shape/sampling_rule factored into separate categorical heads) + elite_carryover [0,0.3] + agent-chosen box_shape {axis,covariance} + sampling_rule {uniform,halton,opposition}; shape-aware observation traj20_freedompp (109d: generalized A1/B4/B5/C4 via the region whitening frame + new B7 anisotropy); 15k episodes; own BASE_FREEDOMPP baselines",2;6;11;12;17;3;7;15;10;16;22,30,300000,hybrid_ppo,traj20_freedompp,param_strategy_freedompp,log_stagnation,per_budget,51,,,cpu,,,,BASE001_de_plain;BASE003_random,pending,,planned
EXP022_hybridppo_rnn_freedompp,hybridppo_rnn_freedompp,"EXP021 (freedom++) with a RECURRENT (GRU) multi-head Hybrid-PPO agent -- same recurrence swap EXP020 was to EXP016. Identical freedom++ action space, traj20_freedompp observation, reward, functions and 15k episodes; only the nets become separate GRU trunks (episode-aligned collection, whole-episode minibatches, exact hidden-state recompute, multi-head categorical+Beta). Reuses BASE_FREEDOMPP (agent-independent baselines)",2;6;11;12;17;3;7;15;10;16;22,30,300000,hybrid_ppo_rnn,traj20_freedompp,param_strategy_freedompp,log_stagnation,per_budget,51,,,cpu,,,,BASE001_de_plain;BASE003_random,pending,,planned
